"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"367","Mahindra Lifespace Developers Limited","MAHLIFE","P&F | F.A","3.81%","343.55","3,27,309"
"498","Jaiprakash Power Ventures Limited","JPPOWER","P&F | F.A","3.74%","14.15","3,37,56,123"
"163","Cochin Shipyard","COCHINSHIP","P&F | F.A","3.7%","1335.85","16,10,855"
"12","Bajaj Holdings & Investment Limited","BAJAJHLDNG","P&F | F.A","3.63%","11774.95","1,38,683"
"370","Sapphire Foods India Ltd","SAPPHIRE","P&F | F.A","3.51%","337.75","8,05,282"
"190","Deepak Fertilizers And Petrochemicals Corporation Limited","DEEPAKFERT","P&F | F.A","3.45%","1116.15","5,97,067"
"330","Elgi Equipments Limited","ELGIEQUIP","P&F | F.A","3.44%","455.1","8,86,980"
"300","Emami Limited","EMAMILTD","P&F | F.A","3.43%","551.75","4,99,056"
"86","Beml Limited","BEML","P&F | F.A","3.36%","2668.8","3,93,193"
"128","Kirloskar Brothers Limited","KIRLOSBROS","P&F | F.A","3.34%","1695.8","2,00,694"
"175","Reliance Industries Limited","RELIANCE","P&F | F.A","3.32%","1249.8","1,64,74,965"
"148","Affle India Ltd","AFFLE","P&F | F.A","3.25%","1482.65","2,04,616"
"173","Clean Science & Technology Ltd","CLEAN","P&F | F.A","3.23%","1271.05","96,479"
"485","Network18 Media & Investments Limited","NETWORK18","P&F | F.A","3.18%","45.45","89,94,617"
"11","PTC Industries Ltd","PTCIL","P&F | F.A","3.08%","12276.45","31,612"
"336","Elecon Engineering Company Limited","ELECON","P&F | F.A","3.07%","437.55","5,75,270"
"414","Rites Ltd","RITES","P&F | F.A","3.05%","219.3","59,88,786"
"380","Jupiter Wagons Ltd","JWL","P&F | F.A","3.03%","315.85","42,71,407"
"24","Tata Investment Corporation Limited","TATAINVEST","P&F | F.A","3.01%","6384.8","3,76,028"
"260","Ramkrishna Forgings Limited","RKFORGE","P&F | F.A","2.97%","715.95","5,16,360"
"186","Action Construction Equipment Limited","ACE","P&F | F.A","2.96%","1136.3","3,93,864"
"479","Equitas Small Finance Bank Ltd","EQUITASBNK","P&F | F.A","2.95%","59.26","36,69,632"
"78","Srf Limited","SRF","P&F | F.A","2.94%","2935.35","14,17,602"
"381","Go Digit General Insurance Ltd","GODIGIT","P&F | F.A","2.93%","314.45","11,84,400"
"230","Just Dial Limited","JUSTDIAL","P&F | F.A","2.92%","888.75","3,48,456"
"483","Motherson Sumi Wiring India Ltd","MSUMI","P&F | F.A","2.92%","52.55","54,75,463"
"137","Grindwell Norton Limited","GRINDWELL","P&F | F.A","2.86%","1624.35","1,02,542"
"296","Ccl Products (india) Limited","CCL","P&F | F.A","2.75%","598.75","2,80,091"
"345","Apollo Tyres Limited","APOLLOTYRE","P&F | F.A","2.71%","411.7","26,31,605"
"25","Amber Enterprises India Ltd","AMBER","P&F | F.A","2.66%","6339.15","10,33,859"
"185","Olectra Greentech Ltd","OLECTRA","P&F | F.A","2.64%","1143.1","5,12,341"
"325","Saregama India Limited","SAREGAMA","P&F | F.A","2.6%","490.9","4,94,598"
"493","Ujjivan Small Finance Bank Ltd","UJJIVANSFB","P&F | F.A","2.57%","34.76","1,34,07,718"
"447","TVS Supply Chain Solutions Ltd","TVSSCS","P&F | F.A","2.56%","144.02","13,54,850"
"176","Sobha Limited","SOBHA","P&F | F.A","2.52%","1241.85","5,47,323"
"352","Heg Limited","HEG","P&F | F.A","2.46%","394","7,88,913"
"390","Jk Tyre & Industries Limited","JKTYRE","P&F | F.A","2.45%","279.65","7,67,308"
"153","GE Vernova T&D India Ltd","GVT&D","P&F | F.A","2.44%","1423.45","6,73,598"
"382","Vip Industries Limited","VIPIND","P&F | F.A","2.43%","314.4","6,04,125"
"417","Manappuram Finance Limited","MANAPPURAM","P&F | F.A","2.38%","208.39","1,02,46,224"
"457","Indian Railway Finance Corporation Ltd","IRFC","P&F | F.A","2.35%","123.42","3,12,22,210"
"365","Bls International Services Limited","BLS","P&F | F.A","2.33%","347.25","31,87,591"
"26","Linde India Limited","LINDEINDIA","P&F | F.A","2.3%","6222.1","42,301"
"202","Birla Corporation Limited","BIRLACORPN","P&F | F.A","2.29%","1015.8","1,03,705"
"81","Glaxosmithkline Pharmaceuticals Limited","GLAXO","P&F | F.A","2.28%","2751.6","2,02,498"
"279","Kirloskar Oil Engines Limited","KIRLOSENG","P&F | F.A","2.25%","652","10,10,132"
"331","Syrma SGS Technology Ltd","SYRMA","P&F | F.A","2.19%","449.55","7,51,764"
"359","Triveni Engineering & Industries Limited","TRIVENI","P&F | F.A","2.18%","374.15","3,96,554"
"490","RattanIndia Enterprises Ltd","RTNINDIA","P&F | F.A","2.17%","43.84","26,70,134"
"481","Mmtc Limited","MMTC","P&F | F.A","2.15%","55.22","19,78,527"
"252","Adani Energy Solutions Ltd","ADANIENSOL","P&F | F.A","1.96%","747.6","26,22,387"
"85","Tube Investments of India Ltd","TIINDIA","P&F | F.A","1.95%","2701.8","2,73,725"
"488","Ifci Limited","IFCI","P&F | F.A","1.93%","44.44","78,48,413"
"3","Honeywell Automation India Limited","HONAUT","P&F | F.A","1.91%","35812.8","3,734"
